teacherEmail,teacherName,studentEmail,studentName,classCode,classname,subjectCode,subjectName,toDelete
teacher1@gmail.com,Teacher 1,commonstudent1@gmail.com,Common Student 1,P1-1,P1 Integrity,MATHS,Mathematics,0,
teacher1@gmail.com,Teacher 1,commonstudent2@gmail.com,Common Student 2,P1-1,P1 Integrity,MATHS,Mathematics,0,
teacher1@gmail.com,Teacher 1,commonstudent3@gmail.com,Common Student 3,P1-1,P1 Integrity,MATHS,Mathematics,0,
teacher1@gmail.com,Teacher 1,commonstudent8@gmail.com,Common Student 8,P2-1,P2 Love,MATHS,Mathematics,0,
teacher1@gmail.com,Teacher 1,commonstudent9@gmail.com,Common Student 9,P2-1,P2 Love,MATHS,Mathematics,0,
teacher1@gmail.com,Teacher 1,commonstudent1@gmail.com,Common Student 1,P1-1,P1 Integrity,PHYSICS,Physics,0,
teacher1@gmail.com,Teacher 1,commonstudent2@gmail.com,Common Student 2,P1-1,P1 Integrity,PHYSICS,Physics,0,
teacher1@gmail.com,Teacher 1,commonstudent3@gmail.com,Common Student 3,P1-1,P1 Integrity,PHYSICS,Physics,0,
teacher1@gmail.com,Teacher 1,commonstudent3@gmail.com,Common Student 3,P1-1,P1 Integrity,MATHS,Mathematics,0,
teacher2@gmail.com,Teacher 2,commonstudent1@gmail.com,Common Student 1,P1-1,P1 Integrity,MATHS,Mathematics,0,
teacher2@gmail.com,Teacher 2,commonstudent2@gmail.com,Common Student 2,P1-1,P1 Integrity,MATHS,Mathematics,0,
teacher2@gmail.com,Teacher 2,commonstudent3@gmail.com,Common Student 3,P1-1,P1 Integrity,MATHS,Mathematics,0,
teacher2@gmail.com,Teacher 2,commonstudent4@gmail.com,Common Student 4,P1-1,P1 Integrity,MATHS,Mathematics,0,
teacher2@gmail.com,Teacher 2,commonstudent1@gmail.com,Common Student 1,P1-1,P1 Integrity,PHYSICS,Physics,0,
teacher2@gmail.com,Teacher 2,commonstudent2@gmail.com,Common Student 2,P1-1,P1 Integrity,PHYSICS,Physics,0,
teacher2@gmail.com,Teacher 2,commonstudent3@gmail.com,Common Student 3,P1-1,P1 Integrity,PHYSICS,Physics,0,
teacher2@gmail.com,Teacher 2,commonstudent4@gmail.com,Common Student 4,P1-1,P1 Integrity,MATHS,Mathematics,1,
